,type,id_in_tp,id_in_bigg,descripation,old_bigg_ids,feature1,feature2,other
0,met,4mop_c,4mop_c,id in bigg,,,,
1,met,etha_c,etha_c,id in bigg,,,,
2,met,acgal6p_c,acgal6p_c,id in bigg,,,,
3,met,udpg_c,udpg_c,id in bigg,,,,
4,met,fgam_c,fgam_c,id in bigg,,,,
5,met,succ_c,succ_c,id in bigg,,,,
6,met,aps_c,aps_c,id in bigg,,,,
7,met,nicrnt_c,nicrnt_c,id in bigg,,,,
8,met,actn__R_e,actn__R_e,id in bigg,,,,
9,met,pydxn_c,pydxn_c,id in bigg,,,,
10,met,acg5sa_c,acg5sa_c,id in bigg,,,,
11,met,dgsn_c,dgsn_c,id in bigg,,,,
12,met,paps_c,paps_c,id in bigg,,,,
13,met,dhap_c,dhap_c,id in bigg,,,,
14,met,fum_c,fum_c,id in bigg,,,,
15,met,2dr1p_c,2dr1p_c,id in bigg,,,,
16,met,spmd_e,spmd_e,id in bigg,,,,
17,met,4ppan_c,4ppan_c,id in bigg,,,,
18,met,10fthf_c,10fthf_c,id in bigg,,,,
19,met,2tdeacp_c,2tdeacp_c,id in bigg,,,,
20,met,2ddglcn_c,2ddglcn_c,id in bigg,,,,
21,met,cbasp_c,cbasp_c,id in bigg,,,,
22,met,trnaphe_c,trnaphe_c,id in bigg,,,,
23,met,pppi_c,pppi_c,id in bigg,,,,
24,met,argsuc_c,argsuc_c,id in bigg,,,,
25,met,thr__L_e,thr__L_e,id in bigg,,,,
26,met,chor_c,chor_c,id in bigg,,,,
27,met,glyc3p_c,glyc3p_c,id in bigg,,,,
28,met,eig3p_c,eig3p_c,id in bigg,,,,
29,met,tyr__L_e,tyr__L_e,id in bigg,,,,
30,met,dha_e,dha_e,id in bigg,,,,
31,met,for_e,for_e,id in bigg,,,,
32,met,2hxic__L_e,2hxic__L_e,id in bigg,,,,
33,met,2mba_e,2mba_e,id in bigg,,,,
34,met,hco3_c,hco3_c,id in bigg,,,,
35,met,4abut_e,4abut_e,id in bigg,,,,
36,met,diact_e,diact_e,id in bigg,,,,
37,met,ipdp_c,ipdp_c,id in bigg,,,,
38,met,unagamagp_c,unagamagp_c,id in bigg,,,,
39,met,sucsal_c,sucsal_c,id in bigg,,,,
40,met,lystrna_c,lystrna_c,id in bigg,,,,
41,met,h2o2_c,h2o2_c,id in bigg,,,,
42,met,prbamp_c,prbamp_c,id in bigg,,,,
43,met,g3p_c,g3p_c,id in bigg,,,,
44,met,trnalys_c,trnalys_c,id in bigg,,,,
45,met,nadp_c,nadp_c,id in bigg,,,,
46,met,35cdamp_c,35cdamp_c,id in bigg,,,,
47,met,ile__L_e,ile__L_e,id in bigg,,,,
48,met,3ig3p_c,3ig3p_c,id in bigg,,,,
49,met,ahcys_c,ahcys_c,id in bigg,,,,
50,met,co2_c,co2_c,id in bigg,,,,
51,met,trnagly_c,trnagly_c,id in bigg,,,,
52,met,dhnpt_c,dhnpt_c,id in bigg,,,,
53,met,phenol_e,phenol_e,id in bigg,,,,
54,met,pea_c,pea_c,id in bigg,,,,
55,met,pep_c,pep_c,id in bigg,,,,
56,met,trnamet_c,trnamet_c,id in bigg,,,,
57,met,acmam_c,acmam_c,id in bigg,,,,
58,met,pro__L_c,pro__L_c,id in bigg,,,,
59,met,pro__L_e,pro__L_e,id in bigg,,,,
60,met,tre_e,tre_e,id in bigg,,,,
61,met,bzal_c,bzal_c,id in bigg,,,,
62,met,fuc__L_c,fuc__L_c,id in bigg,,,,
63,met,hisp_c,hisp_c,id in bigg,,,,
64,met,5dpmev_c,5dpmev_c,id in bigg,,,,
65,met,inost_c,inost_c,id in bigg,,,,
66,met,air_c,air_c,id in bigg,,,,
67,met,dhpt_c,dhpt_c,id in bigg,,,,
68,met,2cocdacp_c,2cocdacp_c,id in bigg,,,,
69,met,gln__L_e,gln__L_e,id in bigg,,,,
70,met,nh4_c,nh4_c,id in bigg,,,,
71,met,2mba_c,2mba_c,id in bigg,,,,
72,met,26dap__M_c,26dap__M_c,id in bigg,,,,
73,met,pan4p_c,pan4p_c,id in bigg,,,,
74,met,dhpmp_c,dhpmp_c,id in bigg,,,,
75,met,cpocdacp_c,cpocdacp_c,id in bigg,,,,
76,met,etoh_c,etoh_c,id in bigg,,,,
77,met,hcys__L_c,hcys__L_c,id in bigg,,,,
78,met,lac__L_e,lac__L_e,id in bigg,,,,
79,met,pant__R_c,pant__R_c,id in bigg,,,,
80,met,h2o_e,h2o_e,id in bigg,,,,
81,met,2beacp_c,2beacp_c,id in bigg,,,,
82,met,alatrna_c,alatrna_c,id in bigg,,,,
83,met,udpgal_c,udpgal_c,id in bigg,,,,
84,met,3hbacp_c,3hbacp_c,id in bigg,,,,
85,met,4mhetz_c,4mhetz_c,id in bigg,,,,
86,met,galt1p_c,galt1p_c,id in bigg,,,,
87,met,3hmp_c,3hmp_c,id in bigg,,,,
88,met,aspsa_c,aspsa_c,id in bigg,,,,
89,met,2aeppn_e,2aeppn_e,id in bigg,,,,
90,met,uacgam_c,uacgam_c,id in bigg,,,,
91,met,gsn_c,gsn_c,id in bigg,,,,
92,met,5fothf_c,5fothf_c,id in bigg,,,,
93,met,2pg_c,2pg_c,id in bigg,,,,
94,met,orot_c,orot_c,id in bigg,,,,
95,met,glcn__D_c,glcn__D_c,id in bigg,,,,
96,met,mql7_c,mql7_c,id in bigg,,,,
97,met,trptrna_c,trptrna_c,id in bigg,,,,
98,met,3dhq_c,3dhq_c,id in bigg,,,,
99,met,dcmp_c,dcmp_c,id in bigg,,,,
100,met,h2s_c,h2s_c,id in bigg,,,,
101,met,ura_c,ura_c,id in bigg,,,,
102,met,csn_e,csn_e,id in bigg,,,,
103,met,2obut_c,2obut_c,id in bigg,,,,
104,met,argtrna_c,argtrna_c,id in bigg,,,,
105,met,db4p_c,db4p_c,id in bigg,,,,
106,met,gthox_c,gthox_c,id in bigg,,,,
107,met,man_e,man_e,id in bigg,,,,
108,met,aicar_c,aicar_c,id in bigg,,,,
109,met,skm_c,skm_c,id in bigg,,,,
110,met,unRTA_c,unRTA_c,id in bigg,,,,
111,met,h_e,h_e,id in bigg,,,,
112,met,g6p_c,g6p_c,id in bigg,,,,
113,met,thdp_c,thdp_c,id in bigg,,,,
114,met,acglu_c,acglu_c,id in bigg,,,,
115,met,met__L_e,met__L_e,id in bigg,,,,
116,met,arab__L_c,arab__L_c,id in bigg,,,,
117,met,no3_e,no3_e,id in bigg,,,,
118,met,ser__L_e,ser__L_e,id in bigg,,,,
119,met,xu5p__D_c,xu5p__D_c,id in bigg,,,,
120,met,lac__L_c,lac__L_c,id in bigg,,,,
121,met,hmgcoa_c,hmgcoa_c,id in bigg,,,,
122,met,gam1p_c,gam1p_c,id in bigg,,,,
123,met,duri_c,duri_c,id in bigg,,,,
124,met,acp_c,acp_c,id in bigg,,,,
125,met,acald_e,acald_e,id in bigg,,,,
126,met,glyc_e,glyc_e,id in bigg,,,,
127,met,oaa_c,oaa_c,id in bigg,,,,
128,met,ocdacp_c,ocdacp_c,id in bigg,,,,
129,met,orot_e,orot_e,id in bigg,,,,
130,met,5mtr_c,5mtr_c,id in bigg,,,,
131,met,sertrna_c,sertrna_c,id in bigg,,,,
132,met,prbatp_c,prbatp_c,id in bigg,,,,
133,met,3oxocacp_c,3oxocacp_c,id in bigg,,,,
134,met,acorn_c,acorn_c,id in bigg,,,,
135,met,acgal_e,acgal_e,id in bigg,,,,
136,met,mercppyr_c,mercppyr_c,id in bigg,,,,
137,met,ribflv_c,ribflv_c,id in bigg,,,,
138,met,pyr_e,pyr_e,id in bigg,,,,
139,met,mn2_c,mn2_c,id in bigg,,,,
140,met,3hhacp_c,3hhacp_c,id in bigg,,,,
141,met,his__L_c,his__L_c,id in bigg,,,,
142,met,malacp_c,malacp_c,id in bigg,,,,
143,met,cystrna_c,cystrna_c,id in bigg,,,,
144,met,3hddacp_c,3hddacp_c,id in bigg,,,,
145,met,trnaser_c,trnaser_c,id in bigg,,,,
146,met,fmn_c,fmn_c,id in bigg,,,,
147,met,valtrna_c,valtrna_c,id in bigg,,,,
148,met,al26da_c,al26da_c,id in bigg,,,,
149,met,accoa_c,accoa_c,id in bigg,,,,
150,met,spmd_c,spmd_c,id in bigg,,,,
151,met,trnaleu_c,trnaleu_c,id in bigg,,,,
152,met,gar_c,gar_c,id in bigg,,,,
153,met,3hdeacp_c,3hdeacp_c,id in bigg,,,,
154,met,thfglu_c,thfglu_c,id in bigg,,,,
155,met,dhptd_c,dhptd_c,id in bigg,,,,
156,met,alac__S_c,alac__S_c,id in bigg,,,,
157,met,35cgmp_c,35cgmp_c,id in bigg,,,,
158,met,uama_c,uama_c,id in bigg,,,,
159,met,ncam_c,ncam_c,id in bigg,,,,
160,met,udcp_c,udcp_c,id in bigg,,,,
161,met,ugmd_c,ugmd_c,id in bigg,,,,
162,met,trdox_c,trdox_c,id in bigg,,,,
163,met,asntrna_c,asntrna_c,id in bigg,,,,
164,met,ala__L_c,ala__L_c,id in bigg,,,,
165,met,uacmam_c,uacmam_c,id in bigg,,,,
166,met,glyclt_c,glyclt_c,id in bigg,,,,
167,met,pydx_c,pydx_c,id in bigg,,,,
168,met,pyam5p_c,pyam5p_c,id in bigg,,,,
169,met,pydam_c,pydam_c,id in bigg,,,,
170,met,tartr__L_c,tartr__L_c,id in bigg,,,,
171,met,trnatrp_c,trnatrp_c,id in bigg,,,,
172,met,thmpp_c,thmpp_c,id in bigg,,,,
173,met,octacp_c,octacp_c,id in bigg,,,,
174,met,asn__L_c,asn__L_c,id in bigg,,,,
175,met,2mahmp_c,2mahmp_c,id in bigg,,,,
176,met,pydam_e,pydam_e,id in bigg,,,,
177,met,a_gal__D_c,a_gal__D_c,id in bigg,,,,
178,met,gly_c,gly_c,id in bigg,,,,
179,met,trp__L_c,trp__L_c,id in bigg,,,,
180,met,uri_c,uri_c,id in bigg,,,,
181,met,trnaile_c,trnaile_c,id in bigg,,,,
182,met,e4p_c,e4p_c,id in bigg,,,,
183,met,cytd_c,cytd_c,id in bigg,,,,
184,met,acetone_c,acetone_c,id in bigg,,,,
185,met,ptrc_c,ptrc_c,id in bigg,,,,
186,met,sl2a6o_c,sl2a6o_c,id in bigg,,,,
187,met,gal_c,gal_c,id in bigg,,,,
188,met,glycogen_e,glycogen_e,id in bigg,,,,
189,met,3oxocdacp_c,3oxocdacp_c,id in bigg,,,,
190,met,amet_c,amet_c,id in bigg,,,,
191,met,no3_c,no3_c,id in bigg,,,,
192,met,6pgl_c,6pgl_c,id in bigg,,,,
193,met,udcpdp_c,udcpdp_c,id in bigg,,,,
194,met,34dhpha_c,34dhpha_c,id in bigg,,,,
195,met,5pmev_c,5pmev_c,id in bigg,,,,
196,met,hista_e,hista_e,id in bigg,,,,
197,met,3ophb_c,3ophb_c,id in bigg,,,,
198,met,val__L_e,val__L_e,id in bigg,,,,
199,met,dtdp6dm_c,dtdp6dm_c,id in bigg,,,,
200,met,glntrna_c,glntrna_c,id in bigg,,,,
201,met,akg_c,akg_c,id in bigg,,,,
202,met,achms_c,achms_c,id in bigg,,,,
203,met,g3pg_c,g3pg_c,id in bigg,,,,
204,met,gtp_c,gtp_c,id in bigg,,,,
205,met,phe__L_c,phe__L_c,id in bigg,,,,
206,met,pi_e,pi_e,id in bigg,,,,
207,met,pydx5p_c,pydx5p_c,id in bigg,,,,
208,met,rbt_c,rbt_c,id in bigg,,,,
209,met,trnapro_c,trnapro_c,id in bigg,,,,
210,met,tyr__L_c,tyr__L_c,id in bigg,,,,
211,met,sbt6p_c,sbt6p_c,id in bigg,,,,
212,met,rml_c,rml_c,id in bigg,,,,
213,met,btn_e,btn_e,id in bigg,,,,
214,met,thm_c,thm_c,id in bigg,,,,
215,met,glyb_c,glyb_c,id in bigg,,,,
216,met,dimp_c,dimp_c,id in bigg,,,,
217,met,sbt__L_c,sbt__L_c,id in bigg,,,,
218,met,ribflv_e,ribflv_e,id in bigg,,,,
219,met,histrna_c,histrna_c,id in bigg,,,,
220,met,nh3_c,nh3_c,id in bigg,,,,
221,met,3hocacp_c,3hocacp_c,id in bigg,,,,
222,met,2dr5p_c,2dr5p_c,id in bigg,,,,
223,met,ahdt_c,ahdt_c,id in bigg,,,,
224,met,imacp_c,imacp_c,id in bigg,,,,
225,met,lcts_c,lcts_c,id in bigg,,,,
226,met,adn_c,adn_c,id in bigg,,,,
227,met,frdp_c,frdp_c,id in bigg,,,,
228,met,suc6p_c,suc6p_c,id in bigg,,,,
229,met,2p4c2me_c,2p4c2me_c,id in bigg,,,,
230,met,dgtp_c,dgtp_c,id in bigg,,,,
231,met,fmet_c,fmet_c,id in bigg,,,,
232,met,acmalt_c,acmalt_c,id in bigg,,,,
233,met,2tddacp_c,2tddacp_c,id in bigg,,,,
234,met,ade_c,ade_c,id in bigg,,,,
235,met,g3pc_c,g3pc_c,id in bigg,,,,
236,met,na1_e,na1_e,id in bigg,,,,
237,met,f6p_c,f6p_c,id in bigg,,,,
238,met,ac_c,ac_c,id in bigg,,,,
239,met,glu__D_c,glu__D_c,id in bigg,,,,
240,met,dcyt_e,dcyt_e,id in bigg,,,,
241,met,sucr_e,sucr_e,id in bigg,,,,
242,met,xmp_c,xmp_c,id in bigg,,,,
243,met,5odhf2a_c,5odhf2a_c,id in bigg,,,,
244,met,idp_c,idp_c,id in bigg,,,,
245,met,acnam_c,acnam_c,id in bigg,,,,
246,met,datp_c,datp_c,id in bigg,,,,
247,met,dxyl5p_c,dxyl5p_c,id in bigg,,,,
248,met,4abz_e,4abz_e,id in bigg,,,,
249,met,3mbal_c,3mbal_c,id in bigg,,,,
250,met,h2o_c,h2o_c,id in bigg,,,,
251,met,trnaval_c,trnaval_c,id in bigg,,,,
252,met,malcoa_c,malcoa_c,id in bigg,,,,
253,met,4h2oxg_c,4h2oxg_c,id in bigg,,,,
254,met,glyald_c,glyald_c,id in bigg,,,,
255,met,ala__D_c,ala__D_c,id in bigg,,,,
256,met,pea_e,pea_e,id in bigg,,,,
257,met,etoh_e,etoh_e,id in bigg,,,,
258,met,pser__L_c,pser__L_c,id in bigg,,,,
259,met,g1p_c,g1p_c,id in bigg,,,,
260,met,asptrna_c,asptrna_c,id in bigg,,,,
261,met,rib__D_c,rib__D_c,id in bigg,,,,
262,met,mn2_e,mn2_e,id in bigg,,,,
263,met,gly_e,gly_e,id in bigg,,,,
264,met,glc__D_e,glc__D_e,id in bigg,,,,
265,met,coa_c,coa_c,id in bigg,,,,
266,met,2theacp_c,2theacp_c,id in bigg,,,,
267,met,chol_c,chol_c,id in bigg,,,,
268,met,nh4_e,nh4_e,id in bigg,,,,
269,met,3hppnl_c,3hppnl_c,id in bigg,,,,
270,met,3mbal_e,3mbal_e,id in bigg,,,,
271,met,2tocdacp_c,2tocdacp_c,id in bigg,,,,
272,met,gmp_c,gmp_c,id in bigg,,,,
273,met,glucys_c,glucys_c,id in bigg,,,,
274,met,dhf_c,dhf_c,id in bigg,,,,
275,met,leu__L_e,leu__L_e,id in bigg,,,,
276,met,dtdp_c,dtdp_c,id in bigg,,,,
277,met,1pyr5c_c,1pyr5c_c,id in bigg,,,,
278,met,adpglc_c,adpglc_c,id in bigg,,,,
279,met,mal__L_e,mal__L_e,id in bigg,,,,
280,met,citr__L_c,citr__L_c,id in bigg,,,,
281,met,thf_c,thf_c,id in bigg,,,,
282,met,unaga_c,unaga_c,id in bigg,,,,
283,met,xtsn_c,xtsn_c,id in bigg,,,,
284,met,r5p_c,r5p_c,id in bigg,,,,
285,met,unagama_c,unagama_c,id in bigg,,,,
286,met,dudp_c,dudp_c,id in bigg,,,,
287,met,cit_e,cit_e,id in bigg,,,,
288,met,sucr_c,sucr_c,id in bigg,,,,
289,met,2ttdeacp_c,2ttdeacp_c,id in bigg,,,,
290,met,3hpaacp_c,3hpaacp_c,id in bigg,,,,
291,met,g3pe_c,g3pe_c,id in bigg,,,,
292,met,fuc__L_e,fuc__L_e,id in bigg,,,,
293,met,6pgg_c,6pgg_c,id in bigg,,,,
294,met,dtdpglc_c,dtdpglc_c,id in bigg,,,,
295,met,drib_c,drib_c,id in bigg,,,,
296,met,ser__D_c,ser__D_c,id in bigg,,,,
297,met,glcn__D_e,glcn__D_e,id in bigg,,,,
298,met,cdp_c,cdp_c,id in bigg,,,,
299,met,pi_c,pi_c,id in bigg,,,,
300,met,2ins_c,2ins_c,id in bigg,,,,
301,met,actn__R_c,actn__R_c,id in bigg,,,,
302,met,glc__D_c,glc__D_c,id in bigg,,,,
303,met,acg5p_c,acg5p_c,id in bigg,,,,
304,met,o2_c,o2_c,id in bigg,,,,
305,met,pap_c,pap_c,id in bigg,,,,
306,met,pacald_c,pacald_c,id in bigg,,,,
307,met,2cpr5p_c,2cpr5p_c,id in bigg,,,,
308,met,arg__L_e,arg__L_e,id in bigg,,,,
309,met,orot5p_c,orot5p_c,id in bigg,,,,
310,met,nac_e,nac_e,id in bigg,,,,
311,met,hista_c,hista_c,id in bigg,,,,
312,met,utp_c,utp_c,id in bigg,,,,
313,met,dump_c,dump_c,id in bigg,,,,
314,met,orn__L_c,orn__L_c,id in bigg,,,,
315,met,damp_c,damp_c,id in bigg,,,,
316,met,actp_c,actp_c,id in bigg,,,,
317,met,gdptp_c,gdptp_c,id in bigg,,,,
318,met,glu__L_c,glu__L_c,id in bigg,,,,
319,met,dttp_c,dttp_c,id in bigg,,,,
320,met,fru_e,fru_e,id in bigg,,,,
321,met,so4_e,so4_e,id in bigg,,,,
322,met,fol_c,fol_c,id in bigg,,,,
323,met,asp__L_e,asp__L_e,id in bigg,,,,
324,met,acald_c,acald_c,id in bigg,,,,
325,met,g3pi_c,g3pi_c,id in bigg,,,,
326,met,bzal_e,bzal_e,id in bigg,,,,
327,met,phenol_c,phenol_c,id in bigg,,,,
328,met,co2_e,co2_e,id in bigg,,,,
329,met,glyc_c,glyc_c,id in bigg,,,,
330,met,phom_c,phom_c,id in bigg,,,,
331,met,rmn_c,rmn_c,id in bigg,,,,
332,met,13ppd_c,13ppd_c,id in bigg,,,,
333,met,mal__L_c,mal__L_c,id in bigg,,,,
334,met,fad_c,fad_c,id in bigg,,,,
335,met,acser_c,acser_c,id in bigg,,,,
336,met,dcamp_c,dcamp_c,id in bigg,,,,
